temperature energy magnetization specific_heat magnetic_susceptibility 
           4   -0.608347 -0.00035875        0.179172          1.3779
        3.79    -0.64652   -0.002875        0.203291         1.67181
        3.58   -0.691162 -0.00059875        0.228586         1.99571
        3.37   -0.737065 -0.00533375         0.28966         2.63389
        3.16   -0.796997  0.00326625        0.339313         3.33141
        2.95   -0.863863 -0.00123625        0.398626         4.47012
        2.74   -0.952952   0.0012925        0.530077          7.1151
        2.53    -1.06798  -0.0112638        0.745395         13.1389
        2.32    -1.21938  -0.0694838         1.10747         26.4021
        2.11    -1.43856   -0.246685         1.92891         57.4923
         1.9     -1.6568   -0.280672         2.27506         111.126
        1.69    -1.80827    0.090945         2.48576         179.423
        1.48    -1.89541   0.0355625         2.13048         230.538
        1.27    -1.96271    0.970614         1.03067         3.52232
        1.06    -1.98888    0.992764        0.353605        0.639804
        0.85    -1.99764    0.998051        0.141249        0.284963
        0.64    -1.99992     0.99998      0.00155625       6.225e-05
        0.43          -2           1               0               0
        0.22          -2           1               0               0
        0.01          -2           1               0               0
